Date,AAPL,ABBV,ABT,ACN,ADBE,AIG,AMD,AMGN,AMT,AMZN,AVGO,AXP,BA,BAC,BK,BKNG,BLK,BMY,BRK-B,C,CAT,CHTR,CL,CMCSA,COF,COP,COST,CRM,CSCO,CVS,CVX,DHR,DIS,DOW,DUK,EMR,EXC,F,FDX,GD,GE,GILD,GM,GOOG,GOOGL,GS,HD,HON,IBM,INTC,JNJ,JPM,KHC,KO,LIN,LLY,LMT,LOW,MA,MCD,MDLZ,MDT,MET,META,MMM,MO,MRK,MS,MSFT,NEE,NFLX,NKE,NVDA,ORCL,PEP,PFE,PG,PM,PYPL,QCOM,RTX,SBUX,SCHW,SO,SPG,T,TGT,TMO,TMUS,TSLA,TXN,UNH,UNP,UPS,USB,V,VZ,WBA,WFC,WMT,XOM
2022-10-21,147.27000427246094,147.05999755859375,95.05999755859375,269.57000732421875,306.3699951171875,53.25,58.81999969482422,251.94000244140625,187.55999755859375,119.31999969482422,449.7300109863281,140.0399932861328,141.32000732421875,34.95000076293945,40.22999954223633,1822.7900390625,597.260009765625,72.20999908447266,282.510009765625,44.2599983215332,190.22000122070312,330.3999938964844,71.47000122070312,30.479999542236328,96.25,124.48999786376953,478.17999267578125,160.1699981689453,42.79999923706055,92.72000122070312,173.19000244140625,244.58999633789062,102.04000091552734,46.869998931884766,88.45999908447266,83.16000366210938,36.720001220703125,12.1899995803833,153.22999572753906,242.60000610351562,72.81999969482422,67.79000091552734,35.0,101.4800033569336,101.12999725341797,325.1000061035156,275.5299987792969,182.80999755859375,129.89999389648438,26.969999313354492,168.7100067138672,122.2300033569336,35.209999084472656,55.959999084472656,288.32000732421875,340.7699890136719,454.6099853515625,182.3699951171875,302.3699951171875,254.5500030517578,57.349998474121094,83.26000213623047,68.05999755859375,130.00999450683594,116.80999755859375,44.47999954223633,95.66999816894531,79.22000122070312,242.1199951171875,71.6500015258789,289.57000732421875,88.5,124.66000366210938,72.69999694824219,173.05999755859375,44.95000076293945,128.5800018310547,86.51000213623047,83.94000244140625,115.73999786376953,88.54000091552734,88.61000061035156,70.31999969482422,64.5,101.04000091552734,17.100000381469727,159.19000244140625,496.739990234375,136.4600067138672,214.44000244140625,159.72000122070312,533.72998046875,190.52999877929688,165.5500030517578,40.5099983215332,190.3699951171875,35.349998474121094,34.29999923706055,44.83000183105469,136.8000030517578,105.86000061035156
2022-10-20,143.38999938964844,142.92999267578125,95.20999908447266,261.7799987792969,302.3800048828125,51.849998474121094,57.77000045776367,247.4499969482422,188.0,115.25,430.29998779296875,142.4199981689453,139.1300048828125,33.70000076293945,38.41999816894531,1773.6199951171875,572.3599853515625,70.3499984741211,273.5299987792969,42.91999816894531,180.5399932861328,328.1199951171875,70.25,30.459999084472656,94.9800033569336,121.80999755859375,464.6199951171875,157.5,41.709999084472656,90.98999786376953,168.9600067138672,243.0800018310547,98.58999633789062,44.93000030517578,87.2300033569336,80.1500015258789,35.540000915527344,11.770000457763672,150.13999938964844,237.44000244140625,69.97000122070312,66.16000366210938,33.439998626708984,100.52999877929688,99.97000122070312,310.80999755859375,269.4599914550781,177.63999938964844,128.3000030517578,26.079999923706055,165.11000061035156,116.12999725341797,35.34000015258789,55.08000183105469,282.2300109863281,329.07000732421875,444.3399963378906,178.3000030517578,296.2799987792969,249.77000427246094,56.90999984741211,82.44999694824219,66.0199966430664,131.52999877929688,113.11000061035156,43.560001373291016,92.94000244140625,76.5999984741211,236.14999389648438,70.63999938964844,268.1600036621094,86.83000183105469,121.94000244140625,69.25,171.4600067138672,42.90999984741211,126.98999786376953,85.02999877929688,84.77999877929688,111.9800033569336,87.23999786376953,86.79000091552734,68.0,63.5,98.30999755859375,16.739999771118164,154.39999389648438,486.8599853515625,136.02000427246094,207.27999877929688,153.72000122070312,520.8800048828125,186.4499969482422,160.97999572753906,40.0099983215332,187.22000122070312,37.0,33.36000061035156,43.650001525878906,134.08999633789062,103.93000030517578
2022-10-19,143.86000061035156,143.1300048828125,98.11000061035156,264.05999755859375,299.8299865722656,52.75,57.22999954223633,248.19000244140625,190.99000549316406,115.06999969482422,435.29998779296875,143.97000122070312,138.38999938964844,33.91999816894531,39.02000045776367,1771.8199462890625,577.9000244140625,71.13999938964844,278.3399963378906,43.34000015258789,184.41000366210938,324.6499938964844,71.75,30.389999389648438,95.2300033569336,121.11000061035156,471.42999267578125,153.6699981689453,41.880001068115234,91.66000366210938,168.0,257.8900146484375,98.98999786376953,45.130001068115234,89.29000091552734,81.19999694824219,36.849998474121094,12.130000114440918,152.9600067138672,239.3699951171875,70.52999877929688,66.19000244140625,33.630001068115234,100.29000091552734,99.62999725341797,311.760009765625,275.489990234375,179.27999877929688,122.51000213623047,26.0,164.69000244140625,116.51000213623047,36.290000915527344,55.959999084472656,283.9100036621094,329.2900085449219,439.9599914550781,183.94000244140625,297.760009765625,250.75,57.70000076293945,83.66000366210938,67.33999633789062,133.22999572753906,114.19999694824219,44.66999816894531,93.26000213623047,77.63999938964844,236.47999572753906,73.63999938964844,272.3800048828125,88.56999969482422,120.51000213623047,66.30000305175781,173.36000061035156,43.11000061035156,129.55999755859375,86.47000122070312,84.47000122070312,112.8499984741211,87.62999725341797,87.5199966430664,68.70999908447266,64.69000244140625,98.02999877929688,15.539999961853027,155.38999938964844,505.6099853515625,135.74000549316406,222.0399932861328,152.64999389648438,520.3200073242188,200.05999755859375,165.7899932861328,41.2599983215332,186.41000366210938,36.56999969482422,33.38999938964844,43.619998931884766,133.75999450683594,103.79000091552734
2022-10-18,143.75,144.60000610351562,104.9800033569336,264.04998779296875,292.9800109863281,52.599998474121094,57.91999816894531,252.1199951171875,197.22000122070312,116.36000061035156,434.8299865722656,145.99000549316406,137.33999633789062,34.880001068115234,39.959999084472656,1773.9599609375,581.0599975585938,71.73999786376953,281.6700134277344,44.150001525878906,183.5500030517578,328.8699951171875,72.91999816894531,30.75,99.58999633789062,117.88999938964844,473.2699890136719,153.52999877929688,41.790000915527344,91.94000244140625,162.72000122070312,265.57000732421875,98.4800033569336,46.380001068115234,90.80999755859375,81.5999984741211,37.560001373291016,12.029999732971191,156.3000030517578,237.47999572753906,70.69999694824219,66.87000274658203,34.25,101.38999938964844,100.7699966430664,313.8500061035156,285.05999755859375,179.8800048828125,122.94000244140625,25.8700008392334,166.00999450683594,118.83999633789062,36.06999969482422,56.439998626708984,284.6600036621094,335.0299987792969,431.8399963378906,193.1999969482422,300.3800048828125,249.19000244140625,58.349998474121094,84.0999984741211,67.37999725341797,132.8000030517578,115.94999694824219,44.77000045776367,94.61000061035156,79.44000244140625,238.5,75.05999755859375,240.86000061035156,89.68000030517578,119.66999816894531,67.02999877929688,175.05999755859375,44.09000015258789,128.3699951171875,86.30999755859375,85.29000091552734,111.20999908447266,87.36000061035156,88.95999908447266,68.61000061035156,65.38999938964844,98.66000366210938,15.600000381469727,157.22999572753906,524.4000244140625,136.16000366210938,220.19000244140625,151.50999450683594,522.2100219726562,201.63999938964844,166.99000549316406,42.79999923706055,187.1699981689453,37.06999969482422,33.099998474121094,44.66999816894531,134.13999938964844,100.80000305175781
2022-10-17,142.41000366210938,144.41000366210938,103.5199966430664,262.2200012207031,293.5,51.72999954223633,57.959999084472656,252.92999267578125,192.49000549316406,113.79000091552734,435.3699951171875,141.5399932861328,136.08999633789062,33.619998931884766,40.36000061035156,1747.489990234375,569.25,71.37999725341797,277.0199890136719,43.59000015258789,180.8000030517578,331.69000244140625,72.13999938964844,30.81999969482422,97.47000122070312,118.36000061035156,464.1700134277344,147.17999267578125,41.29999923706055,90.88999938964844,161.30999755859375,259.92999267578125,97.33000183105469,45.2599983215332,89.0999984741211,80.06999969482422,37.099998474121094,11.829999923706055,156.97999572753906,228.83999633789062,68.62999725341797,66.37999725341797,33.56999969482422,100.77999877929688,99.97000122070312,306.7099914550781,281.260009765625,177.0399932861328,121.5199966430664,26.420000076293945,166.58999633789062,115.86000061035156,35.4900016784668,55.689998626708984,280.9200134277344,332.760009765625,397.30999755859375,194.08999633789062,295.0400085449219,246.47999572753906,57.439998626708984,82.76000213623047,66.2699966430664,134.0399932861328,113.86000061035156,44.59000015258789,94.12000274658203,77.13999938964844,237.52999877929688,73.6500015258789,245.10000610351562,89.97000122070312,118.87999725341797,67.0199966430664,172.72999572753906,43.650001525878906,127.33999633789062,85.56999969482422,84.66000366210938,111.58999633789062,84.47000122070312,88.9000015258789,67.43000030517578,64.27999877929688,99.1500015258789,15.3100004196167,149.25,517.22998046875,133.83999633789062,219.35000610351562,150.99000549316406,521.8800048828125,198.60000610351562,164.72000122070312,42.63999938964844,185.25,37.18000030517578,33.0,43.959999084472656,131.3699951171875,100.62000274658203
2022-10-14,138.3800048828125,142.94000244140625,100.91000366210938,252.72000122070312,287.94000244140625,50.709999084472656,55.939998626708984,251.33999633789062,185.77999877929688,106.9000015258789,427.1000061035156,136.80999755859375,133.14999389648438,31.700000762939453,38.40999984741211,1670.489990234375,550.9500122070312,70.62000274658203,272.6700134277344,43.22999954223633,178.19000244140625,323.30999755859375,71.33000183105469,30.049999237060547,95.38999938964844,117.95999908447266,454.6499938964844,142.22000122070312,40.20000076293945,89.30000305175781,160.13999938964844,253.7100067138672,94.44999694824219,45.119998931884766,86.81999969482422,78.22000122070312,36.59000015258789,11.670000076293945,156.9600067138672,221.1699981689453,67.56999969482422,66.16999816894531,32.88999938964844,97.18000030517578,96.55999755859375,299.989990234375,276.42999267578125,174.16000366210938,120.04000091552734,25.90999984741211,164.4600067138672,111.19000244140625,35.72999954223633,54.97999954223633,275.3399963378906,331.3900146484375,389.4100036621094,188.9600067138672,288.69000244140625,243.16000366210938,56.939998626708984,81.61000061035156,65.12000274658203,126.76000213623047,113.62999725341797,45.22999954223633,92.18000030517578,75.30000305175781,228.55999755859375,71.7699966430664,230.0,87.55000305175781,112.2699966430664,64.30999755859375,170.19000244140625,42.86000061035156,125.08000183105469,85.26000213623047,80.47000122070312,109.94999694824219,82.58999633789062,86.37000274658203,68.9800033569336,63.5099983215332,95.86000061035156,14.989999771118164,145.69000244140625,503.04998779296875,131.52000427246094,204.99000549316406,148.33999633789062,513.1300048828125,193.7899932861328,161.67999267578125,42.7599983215332,182.6199951171875,36.380001068115234,33.2400016784668,43.16999816894531,130.42999267578125,99.19000244140625
2022-10-13,142.99000549316406,142.9199981689453,102.47000122070312,257.4599914550781,294.739990234375,50.939998626708984,58.939998626708984,251.66000366210938,189.85000610351562,112.52999877929688,437.9700012207031,141.5500030517578,132.39999389648438,31.690000534057617,39.209999084472656,1692.1300048828125,566.030029296875,70.7699966430664,275.7799987792969,42.95000076293945,183.13999938964844,325.94000244140625,71.01000213623047,30.229999542236328,97.81999969482422,122.73999786376953,467.989990234375,145.44000244140625,40.61000061035156,90.0999984741211,165.27999877929688,257.2699890136719,96.63999938964844,45.91999816894531,87.98999786376953,80.79000091552734,37.22999954223633,11.770000457763672,156.25,229.1300048828125,67.94000244140625,66.45999908447266,32.7599983215332,99.70999908447266,99.05999755859375,307.07000732421875,282.8299865722656,177.5500030517578,121.79000091552734,26.420000076293945,165.14999389648438,109.37000274658203,35.779998779296875,55.869998931884766,282.4599914550781,332.1000061035156,405.9599914550781,193.16000366210938,293.9599914550781,246.75,57.68000030517578,83.5,65.23999786376953,130.2899932861328,114.26000213623047,45.88999938964844,92.48999786376953,79.31999969482422,234.24000549316406,73.08999633789062,232.50999450683594,89.55999755859375,119.5999984741211,65.19999694824219,174.61000061035156,42.97999954223633,126.30999755859375,87.2300033569336,84.04000091552734,112.86000061035156,84.87000274658203,89.37000274658203,74.06999969482422,64.05000305175781,95.83000183105469,15.119999885559082,154.1199951171875,510.5400085449219,133.0800018310547,221.72000122070312,154.33999633789062,509.9100036621094,196.74000549316406,163.66000366210938,41.369998931884766,184.66000366210938,36.400001525878906,33.650001525878906,42.380001068115234,132.27999877929688,101.87000274658203
2022-10-12,138.33999633789062,139.97999572753906,100.08000183105469,250.07000732421875,286.1499938964844,48.959999084472656,57.849998474121094,246.44000244140625,183.7899932861328,112.9000015258789,430.57000732421875,136.74000549316406,130.4199981689453,29.860000610351562,37.290000915527344,1675.6199951171875,531.0999755859375,69.27999877929688,264.0,40.84000015258789,179.5,306.30999755859375,69.11000061035156,28.690000534057617,93.48999786376953,116.30000305175781,466.3800048828125,142.2899932861328,39.27000045776367,87.83999633789062,157.63999938964844,251.67999267578125,93.41000366210938,43.810001373291016,85.97000122070312,77.5,35.959999084472656,11.539999961853027,152.88999938964844,223.32000732421875,64.73999786376953,65.38999938964844,32.20000076293945,98.30000305175781,97.55999755859375,295.30999755859375,280.5199890136719,172.7899932861328,117.56999969482422,25.329999923706055,162.69000244140625,103.61000061035156,35.29999923706055,55.13999938964844,271.5899963378906,324.57000732421875,397.4200134277344,193.8699951171875,283.3800048828125,237.05999755859375,56.83000183105469,80.30999755859375,62.58000183105469,127.5,108.94999694824219,44.75,90.41999816894531,76.5999984741211,225.75,72.75,220.8699951171875,88.51000213623047,115.0,63.779998779296875,169.38999938964844,42.029998779296875,124.43000030517578,85.66999816894531,83.80999755859375,108.63999938964844,82.98999786376953,86.87000274658203,71.88999938964844,61.5,93.68000030517578,14.630000114440918,154.16000366210938,500.6700134277344,132.94000244140625,217.24000549316406,151.5500030517578,499.9599914550781,192.1199951171875,159.47999572753906,39.11000061035156,178.24000549316406,35.68000030517578,31.940000534057617,40.5099983215332,131.1699981689453,98.43000030517578
2022-10-11,138.97999572753906,141.50999450683594,101.75,252.97999572753906,284.8299865722656,48.04999923706055,57.630001068115234,245.44000244140625,189.27000427246094,112.20999908447266,430.760009765625,137.35000610351562,131.57000732421875,29.770000457763672,38.47999954223633,1634.6099853515625,531.1400146484375,69.6500015258789,267.30999755859375,40.45000076293945,179.75,308.44000244140625,69.05000305175781,28.68000030517578,93.76000213623047,115.58000183105469,472.0199890136719,142.57000732421875,39.58000183105469,88.5,157.1699981689453,254.13999938964844,93.0999984741211,43.95000076293945,89.52999877929688,78.0,37.470001220703125,11.5600004196167,152.0800018310547,227.74000549316406,64.0,65.66999816894531,32.09000015258789,98.05000305175781,97.18000030517578,294.2099914550781,282.8900146484375,173.6199951171875,117.80000305175781,25.040000915527344,162.72999572753906,101.95999908447266,34.939998626708984,54.47999954223633,271.0,327.6000061035156,411.05999755859375,196.42999267578125,286.04998779296875,237.0500030517578,56.279998779296875,81.88999938964844,63.31999969482422,128.5399932861328,108.83999633789062,44.349998474121094,91.05000305175781,77.0,225.41000366210938,76.02999877929688,214.2899932861328,87.98999786376953,115.86000061035156,62.40999984741211,162.58999633789062,41.91999816894531,124.2300033569336,85.62000274658203,83.08999633789062,110.02999877929688,84.58999633789062,86.20999908447266,71.70999908447266,63.63999938964844,94.81999969482422,14.8100004196167,154.5,500.80999755859375,137.14999389648438,216.5,153.4499969482422,499.80999755859375,192.63999938964844,159.41000366210938,38.790000915527344,179.13999938964844,35.939998626708984,32.61000061035156,40.22999954223633,132.6699981689453,98.0
2022-10-10,140.4199981689453,138.30999755859375,101.12999725341797,257.8500061035156,285.7200012207031,48.439998626708984,57.810001373291016,232.14999389648438,189.5800018310547,113.66999816894531,437.70001220703125,137.50999450683594,131.89999389648438,30.65999984741211,39.209999084472656,1671.3299560546875,545.5399780273438,68.4800033569336,266.92999267578125,41.599998474121094,178.6699981689453,318.29998779296875,68.4800033569336,29.1299991607666,93.05000305175781,116.80000305175781,466.30999755859375,145.63999938964844,39.88999938964844,88.25,157.13999938964844,261.4100036621094,95.16000366210938,44.880001068115234,89.1500015258789,78.37000274658203,37.810001373291016,11.359999656677246,153.2100067138672,225.41000366210938,64.9800033569336,64.45999908447266,32.290000915527344,98.70999908447266,97.86000061035156,300.5400085449219,282.4599914550781,171.88999938964844,117.75,25.200000762939453,160.41000366210938,104.98999786376953,34.06999969482422,54.38999938964844,271.8299865722656,323.8900146484375,409.989990234375,194.89999389648438,291.7799987792969,234.9499969482422,55.619998931884766,81.83999633789062,63.38999938964844,133.7899932861328,108.45999908447266,43.459999084472656,90.4800033569336,78.41000366210938,229.25,76.73999786376953,229.97999572753906,86.69000244140625,116.69999694824219,62.56999969482422,161.82000732421875,41.75,123.76000213623047,84.0,84.5199966430664,114.5999984741211,84.16000366210938,87.05999755859375,73.55999755859375,63.9900016784668,92.52999877929688,14.899999618530273,153.10000610351562,510.8399963378906,137.72999572753906,222.9600067138672,156.7899932861328,498.8599853515625,194.0500030517578,159.74000549316406,39.83000183105469,182.17999267578125,36.619998931884766,31.84000015258789,41.45000076293945,129.32000732421875,98.83999633789062
